"","occasionyear","FieldPeriodID","BirdID","BloodID","SampleQuality","SampleColour","dROMsAssay","dROMsDilution","dROMsColourInCuvette","dROMsTurbid","dROMsAbs505nm","dROMsCARRU505nm","dROMs505mMolH2O2","dROMsAbs546nm","dROMsCARRU546nm","dROMs546mMolH2O2","OXYanalysed","OXYassay","OXYdilution","OXYabs505nm","OXYmMolHClO505nm","OXYabs546nm","OXYmMolHClO546nm","UseData","CatchID","BloodSource","OccasionDate","Island","birthyear","birthday","age_year","age_date","dROMsAbs505nm._z","dROMsCARRU505nm._z","dROMs505mMolH2O2._z","dROMsAbs546nm._z","dROMsCARRU546nm._z","dROMs546mMolH2O2._z","OXYabs505nm._z","OXYmMolHClO505nm._z","OXYabs546nm._z","OXYmMolHClO546nm._z","sum_roms_z","sum_roms","sum_roms_scale","sum_oxy","sum_oxy_scale","sum_oxy_z","oxyratio","Status","OccasionID","TerritoryID","Resident","CatchType","BleedTime","CatchTime","Year","TerritoryNumber","TQ","TQcorrected","lifespan","lifespan_yrs","AveAge","WithinAge","newstat","SexEstimate","avg_invert","BreedGroupID","PeriodStart","PeriodEnd","PeriodYear","groupsize","nr_helpers","newlifespan"
"1",2006,75,453,3217,1,"Y",3,NA,"O",1,0.75,49.193000793457,1.18099999427795,0.643999993801117,35.1580009460449,0.843999981880188,1,3,"10/500",0.827000021934509,80.7379989624023,0.961000025272369,81.2099990844727,1,5578,"A","2006-08-23","CN",1992,"1992-08-10",14,5126,-1.01131163854615,-1.04726009428895,-1.04684304380363,-0.607769048324248,-0.634588139285521,-0.634312400938435,1.72701417668625,-1.95711504293257,1.82806255567929,-1.97997553000244,-0.859088478736213,87.7700017094612,-0.857030315072026,163.735998094082,-2.09484428070765,-2.09888948497924,1.86551207593781,"BrM",1934,69,NA,"R",NA,"11:06:00",2006,48,11457.85101,11457.85101,6430,17.6164383561644,15.5,-1.5,"Dom",1,3.14873123264286,3811,"2006-06-12","2006-09-02",2006,3,0,6430
"2",2006,75,3089,3188,1,"Y",3,NA,"O",1,1.16700005531311,85.245002746582,2.0460000038147,0.637000024318695,34.5970001220703,0.829999983310699,1,3,"10/500",0.658999979496002,106.475997924805,0.767000019550323,107.555999755859,1,5562,"A","2006-08-15","CN",2004,"2004-11-04",2,649,0.124422408215584,-0.012619328266532,-0.0124934638825666,-0.628098585533404,-0.652925933509998,-0.653380343177121,0.750067705508043,-0.971503478904535,0.853037540738913,-0.97427218520288,-0.313898262685423,124.52200293541,-0.307477802335794,215.45799767971,-1.04542957341721,-1.04939257729581,1.73028053356538,"BrM",1922,86,NA,"R",NA,"11:55:00",2006,58,3822.914573,3822.914573,NA,NA,3.6,-1.6,"Dom",1,3.14873123264286,3825,"2006-06-12","2006-09-02",2006,8,1,5611
"3",2006,75,1415,3158,2,"Y",2,NA,"O",1,1.16799998283386,87.0999984741211,2.08999991416931,0.690999984741211,40.1669998168945,0.96399998664856,1,2,"10/500",0.508000016212463,159.647994995117,0.592000007629395,161.408996582031,1,5534,"A","2006-08-08","CN",1998,"1998-08-21",8,2909,0.127145793297049,0.0406163894893026,0.0401207422331408,-0.471270158286797,-0.470855776267746,-0.470872872840763,-0.128020651712989,1.06466628205935,-0.026495367534494,1.08145307310486,-0.200297263245422,132.179998159409,-0.192967833422879,322.15699160099,1.11944213245545,1.1156487024391,2.43725976764253,"BrF",1911,39,NA,"R",NA,"14:42:00",2006,28.1,7863.225967,7863.225967,5519,15.1205479452055,9.33333333333333,-1.33333333333333,"Dom",0,3.14873123264286,3788,"2006-06-12","2006-09-02",2006,4,1,5304
"4",2006,75,3618,3103,1,"Y",2,NA,"PO",1,1.22699999809265,92.2539978027344,2.21399998664856,1.05400002002716,69.5039978027344,1.66799998283386,1,2,"10/500",0.541000008583069,153.557006835938,0.630999982357025,155.044998168945,1,5498,"A","2006-07-09","CN",2004,"2004-11-20",2,596,0.287837201451792,0.188528780606137,0.188397530053967,0.582966255572149,0.488101517977863,0.487972315368881,0.063879455140685,0.831417831983097,0.169514683083564,0.838520774948089,0.329895419132131,167.920995593071,0.341467144052599,309.774004995823,0.868197239223342,0.86438412925699,1.8447604118934,"FLOAT",1854,54,NA,"R",NA,"17:35:00",2006,38,7373.786082,7373.786082,2120,5.80821917808219,3.5,-1.5,"Sub",1,3.14873123264286,NA,NA,NA,NA,NA,NA,2120
"5",2006,75,3093,3172,2,"Y",3,NA,"O",1,1.34399998188019,100.547996520996,2.41300010681152,0.867999970912933,53.0970001220703,1.27400004863739,1,3,"10/500",0.620000004768372,112.450996398926,0.721000015735626,113.802001953125,1,5548,"A","2006-08-11","CN",2004,"2004-10-31",2,649,0.606496308003479,0.426554652190428,0.42635786349377,0.042778912060448,-0.0482045522661949,-0.0486540242707079,0.523276764665612,-0.742696740674962,0.621846029997708,-0.735844145221914,0.2056285042417,159.543996751308,0.216205917204661,227.593998372555,-0.799195906567696,-0.803139623024411,1.4265281239464,"BrM",1916,76,NA,"R",NA,"16:26:00",2006,52,9523.264609,9523.264609,NA,NA,4,-2,"Dom",1,3.14873123264286,3817,"2006-06-12","2006-09-02",2006,3,0,2527
"6",2006,75,1752,3234,1,"Y",4,NA,"PO",1,1.49000000953674,118.592002868652,2.84599995613098,1.02300000190735,68.697998046875,1.64900004863739,1,4,"10/500",0.769999980926514,127.679000854492,0.894999980926514,128.462005615234,1,5632,"A","2006-08-31","CN",2002,"2002-08-18",4,1474,1.00413942609178,0.944391763536584,0.944130357495619,0.492935002802582,0.461755286321351,0.462094480739191,1.3955500406569,-0.159555164268776,1.49635280141989,-0.176229238137761,0.721179832488318,194.298000931739,0.735882388904294,257.806006431579,-0.186208670035432,-0.190104371354384,1.32685876949476,"BrM",1941,47,NA,"R",NA,"12:23:00",2006,33,12199.25575,12199.25575,2945,8.06849315068493,6,-2,"Dom",1,3.14873123264286,3794,"2006-06-12","2006-09-02",2006,3,1,2945
"7",2006,75,1664,3156,1,"Y",2,NA,"O",0,0.973999977111816,70.1510009765625,1.68400001525879,0.601000010967255,32.8930015563965,0.788999974727631,1,2,"10/500",0.505999982357025,160.016998291016,0.58899998664856,161.899002075195,1,5535,"A","2006-08-08","CN",2001,"2001-11-21",5,1721,-0.401229224315494,-0.445795537842407,-0.445365755172785,-0.732650985768296,-0.708625628984145,-0.709222191414974,-0.139651160782784,1.07879690333002,-0.0415731789539997,1.10015800557609,-0.572460120003467,107.092002511024,-0.568108522043417,323.011000335217,1.13676956242784,1.13297748966478,3.01620095582735,"BrF",1911,74,NA,"R",NA,"11:45:00",2006,51.1,15392.44795,15392.44795,2659,7.28493150684931,6.5,-1.5,"Dom",0,3.14873123264286,3815,"2006-06-12","2006-09-02",2006,3,0,2659
"8",2006,75,3094,3229,1,"Y",4,NA,"O",1,1.43299996852875,113.447998046875,2.72300004959106,0.967000007629395,64.0230026245117,1.53699994087219,1,4,"10/500",0.691999971866608,144.701995849609,0.804000020027161,145.962005615234,1,5586,"A","2006-08-29","CN",2004,"2004-09-05",2,723,0.848895112776326,0.796766200436195,0.797049547949696,0.330298012706405,0.308940708531082,0.309550780467128,0.941967812361717,0.492323823918594,1.03899591678871,0.491796575476791,0.570359498851247,184.131000638008,0.583855278215551,292.160001456737,0.510817506879829,0.506976403447944,1.58669643050009,"BrF",1938,53,NA,"R",NA,"16:32:00",2006,37,17053.82448,17053.82448,5496,15.0575342465753,3,-1,"Dom",0,3.14873123264286,3798,"2006-06-12","2006-09-02",2006,2,0,5130
"9",2006,75,3643,3180,2,"Y",3,NA,"PO",1,0.808000028133392,54.2070007324219,1.30099999904633,0.572000026702881,29.3910007476807,0.704999983310699,1,3,"10/500",0.861000001430511,75.5289993286133,0.999000012874603,76.0490036010742,1,5554,"A","2006-08-13","CN",2005,"2005-09-28",1,319,-0.853343777811043,-0.903365484929059,-0.903349456342081,-0.816873675688301,-0.823097778506498,-0.823629844847087,1.92472936476966,-2.15658860276835,2.01904676901322,-2.17698571325149,-0.870748241478058,86.9840015172959,-0.868783372489498,153.438002943993,-2.30378569157128,-2.3078472621716,1.76397958552738,"BrM",1919,109,NA,"R",NA,"11:30:00",2006,76,6373.115035,6373.115035,4550,12.4657534246575,1,0,"Dom",1,3.14873123264286,3840,"2006-06-12","2006-09-02",2006,5,0,4174
"10",2006,75,1018,3186,1,"Y",3,NA,"O",1,1.4210000038147,107.205001831055,2.57299995422363,0.976999998092651,61.826000213623,1.48399996757507,1,3,"10/500",0.787000000476837,86.8659973144531,0.913999974727631,87.5930023193359,1,5557,"A","2006-08-14","CN",1995,"1995-11-03",11,3937,0.816212219064351,0.617601160020148,0.61768245671173,0.359340307637044,0.237125879746834,0.237365028128279,1.49440780800376,-1.72244932362204,1.59184490808685,-1.73631776261537,0.442116994083279,175.486001968384,0.454586651119975,176.159999608993,-1.84276721451531,-1.84679267365301,1.00384074873807,"BrM",1921,110,NA,"R",NA,"16:15:00",2006,77,17577.01916,17577.01916,4493,12.3095890410959,11,0,"Dom",1,3.14873123264286,3841,"2006-06-12","2006-09-02",2006,3,1,4335
